iati-identifier,other-identifier,other-identifier_owner-name,other-identifier_owner-ref,hierarchy,titles_lang,titles,default-currency,default-language,last-updated-datetime,transaction_value_currencies,commitment,disbursement,reimbursement,expenditure,incoming-funds,loan-repayment,interest-repayment,transaction_values,transaction-value_value-dates,transaction-types,transaction-type_codes,transaction-dates,transaction-date_iso-dates,transaction_provider-org_refs,transaction_provider-orgs,transaction_provider-org_provider-activity-ids,transaction_receiver-org_refs,transaction_receiver-orgs,transaction_receiver-org_receiver-activity-ids,transaction_description_langs,transaction_descriptions,transaction_flow-type_codes,transaction_flow-type_langs,transaction_flow-types,transaction_aid-type_codes,transaction_aid-type_langs,transaction_aid-types,transaction_finance-type_codes,transaction_finance-type_langs,transaction_finance-types,transaction_tied-status_codes,transaction_tied-status_langs,transaction_tied-statuses,transaction_disbursement-channel_codes,transaction_disbursement-channel_langs,transaction_disbursement-channels,reporting-org_ref,reporting-org_type,reporting-org_lang,reporting-org,participating-org_refs_funding,participating-org_types_funding,participating-org_langs_funding,participating-orgs_funding,participating-org-refs_extending,participating-org-types_extending,participating-org_langs_extending,participating-orgs_extending,participating-org-refs_accountable,participating-org-types_accountable,participating-org_langs_accountable,participating-orgs_accountable,participating-org_refs_implementing,participating-org_types_implementing,participating-org_langs_implementing,participating-orgs_implementing,recipient-country_codes,recipient-country_langs,recipient-countries,recipient-country_percentages,recipient-region_codes,recipient-region_langs,recipient-regions,recipient-region_percentages,description_types,description_langs,descriptions,document-link_urls,document-link_formats,document-link_languages,document-link_category_codes,document-link_category_langs,document-link_categories,document-link_title_langs,document-link_titles,start-planned_iso-date,start-planned_lang,start-planned,start-actual_iso-date,start-actual_lang,start-actual,end-planned_iso-date,end-planned_lang,end-planned,end-actual_iso-date,end-actual_lang,end-actual,activity-website,activity-status_code,activity-status_lang,activity-status,collaboration-type_code,collaboration-type_lang,collaboration-type,conditions-attached,condition_types,condition_langs,conditions,sector_langs,sectors,sector_vocabularies,sector_codes,sector_percentages,policy-marker_langs,policy-markers,policy-marker_vocabularies,policy-marker_significance,policy-marker_codes,contact-info_organisation,contact-info_person-name,contact-info_person-name,contact-info_email,contact-info_mailing-address,default-aid-type_code,default-aid-type_lang,default-aid-type,default-finance-type_code,default-finance-type_lang,default-finance-type,default-flow-type_code,default-flow-type_lang,default-flow-type,default-tied-status_code,default-tied-status_lang,default-tied-status,related-activity_refs,related-activity_types,related-activity_langs,related-activities,budget_types,budget_period_starts,budget_period-start_iso-dates,budget_period-ends,budget_period-end_iso-dates,budget_values,budget_value_value-dates,budget_value_currencies,planned-disbursement_updated,planned-disbursement_period_starts,planned-disbursement_period-start_iso-dates,planned-disbursement_period-ends,planned-disbursement_period-end_iso-dates,planned-disbursement_values,planned-disbursement_value_value-dates,planned-disbursement_value_currencies,location_percentages,location-type_codes,location-type_langs,location-types,location_name_langs,location_names,location_description_langs,location_descriptions,location_administrative,location_administrative_country,location_administrative_admin1,location_administrative_admin2,location_coordinates_latitudes,location_coordinates_longitudes,location_coordinates_precisions,location_gazetteer-entries, location_gazetteer-entry_gazetteer-refs,result_types,result_title_langs,result_titles,result_description_langs,result_descriptions,result_indicator_title_langs,result_indicator_titles,result_indicator_description_langs,result_indicator_descriptions,result_indicator_measures,result_indicator_baselines,result_indicator_baseline_years,result_indicator_baseline_values,result_indicator_targets,result_indicator_target_years,result_indicator_target_values,result_indicator_actuals,result_indicator_actual_years,result_indicator_actual_values,legacy-data_names,legacy-data_values,legacy-data_iati-equivalents,legacy-data
"NL-KVK-41188664-KEBK-YEP","","","","","","Vijana Reloaded","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"61164","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","ICS Kenya","KE","","Kenya","","","","","","","","Western Kenya has a high youth unemployment rate, amongst other due to the fact that young people do not have the right skills important to local enterprises.  The present educational offerings are not aligned with what local companies need. So young people lack the specific skills that are so important for local businesses. Together with local companies and the Kenyan government ICS developed the Vijana Reloaded community school. The school teaches young people skills in ICT, entrepreneurship and agricultural technique. It is precisely this combination of skills that local businesses need. Social skills are also part of the curriculum. Vijana Reloaded can be accessed on location, in a mobile bus or online. With Vijana Reloaded, ICS aims to provide suitable courses for 760 young people in three years.  ","","","","","","","","","","","","2012-01-01","","Start Actual","2014-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","54714","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-TAME-YEP","","","","","","Meatu Young Entrepreneurs","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"60395","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","","","","TZ","","Tanzania","","","","","","","","Young people in Meatu, Tanzania, have few opportunities. Without entrepreneurial skills, few succeed in building a durable business or expanding an existing one. There is great demand among young entrepreneurs for coaching and training opportunities.  There are hardly any educational avenues, let alone routes for young entrepreneurs. Translating a business idea into an enterprise is therefore very difficult.  The Young Entrepreneurship Program - YEP -  offers young entrepreneurs in Meatu a coaching and training program. Here they learn about finances, market research, sales and marketing. On the basis of a good business plan they receive a starter loan. They then have 3 years to pay back their loan.  During the program the young entrepreneurs take on a practical assignment and are apprenticed to a local business.  The basic training program also makes it possible for young people without a business idea to set up their own business.","","","","","","","","","","","","2012-12-01","","Start Actual","2015-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Education, level unspecified","DAC","111","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","42981","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-TAME-SOLAR","","","","","","Meatu Solar Energy Enterprise","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"10692","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","ICS Tanzania","TZ","","Tanzania","","","","","","","","The Meatu Solar Enterprises project aims at enabling rural communities in Meatu district to access and use electricity through solar energy. Meatu district has a great potential for using solar energy with an average of eight hours of sun daily, but currently this potential is barely being used because of insufficient local awareness and capacities. Providing areas that are far from the national electricity grid with access to solar energy brings communities a wide range of advantages to improve economic activities and household wellbeing, for example by enabling (non-kerosine) lighting and mobile phones usage. This project will pursue three strategies to improve access to solar energy: 1. Investing in the establishment of solar enterprises will allow for the delivery of solar equipment to households and small local businesses through local markets. 2. By strengthening the infrastructure for installation and maintenance, the communitys capacity to operate the solar systems will be enhanced. 3) Setting up village savings and loans schemes will provide communities with the financial services that allow them to make the necessary investments in solar equipment.   The project builds upon a pilot project that is successfully being implemented in Meatu district since 2009. It scales up the activities and provide more households and local businesses with access to solar energy. The sustainability of results will be enhanced trough a refined social business approach. ICS will support the establishment and capacity enhancement of local solar enterprises, run by women and youth groups, that supply the community with solar panels and accessories on credit. By creating a local market for solar equipment and services, the project strengthens the capacity of communities to achieve positive social change in an entrepreneurial way. By facilitating the establishment of financial services, the project will enable community members to make their own investments and sustain the results of the project after ICS involvement. ","","","","","","","","","","","","2011-01-01","","Start Actual","2013-12-31","","End Actual","","","","","3","","Project Completion","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","13000","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-CAOM-CWE","","","","","","Community Water Enterprise","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"58783","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","ICS Cambodia","KH","","Cambodia","","","","","","","","Following a social business approach, this project will establish a safe drinking water supply system and improve peoples access to clean water for drinking purposes in Beng and Kok Mon Communes, Cambodia.  Water will be pumped from existing community ponds, deep wells and rain water cisterns, and through water purification and sterilization, it will be made into quality safe drinking water.  In addition, this project will motivate people to use clean water, and spread awareness on water-borne diseases and other health issues that affect their children and families. The water filtration system will produce a finished product of safe drinking water stored in twenty litre bottles and lately for small bottles.  The bottled water will be produced safely and sustainably through a reliable, profitable procedure and be offered for purchase at an affordable price in the villages.  Through an innovative approach, the project will install necessary equipment using a combination of local resources, active filtration and UV  - Ultra Violet - and Ozone sterilization.  The project is expecting to have 1,600 families accessing the mineral water products which will be available through the village water sales agent of the mineral water enterprise. ","","","","","","","","","","","","2011-07-01","","Start Actual","2013-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Business and Other Services","DAC","250","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","123857","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-KENY-CLK","","","","","","Childline Kenya","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"13919","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","Childline Kenya","KE","","Kenya","","","","","","","","Child line Kenyas work represents the resonating message that child abuse and violence against children have no place in our society. The organization operates the National Child Helpline 116, Kenyas only 24-hour, toll-free telephone and web-based helpline for children. ICS and CLK work together to strengthen the child protection systems specifically in reference to development and implementation of case management and referral mechanisms for children.","","","","","","","","","","","","2013-05-01","","Start Actual","2014-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Other social infrastructure and services","DAC","160","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","13919","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-CAOM-CC","","","","","","Support to Community Council","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"1409","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","ICS Cambodia","KH","","Cambodia","","","","","","","","ICS has been working very closely with the Commune Council for several years, and they have been engaged in various ICS project interventions in Beng Commune and attended a series of meetings and training workshops initiated by ICS.  The Commune Council also visited various types of project interventions in other provinces in order to expand their understanding and increase their skills in community development. An important key role of the Commune Council is making sure services are provided to its constituents.  This is accomplished through an annual process of Commune Council investment planning which helps them to prioritize where funds should be allocated. A major challenge exists in influencing the Commune Council to change their habits of focusing their funds mostly in infrastructure investment rather than allocating portions to support the socio-economic initiatives of their constituents. ICS has experience in engaging with the Commune Council and co invest with NGOs by not isolating the Commune Council, but rather actively engaging them in the process and work along with them.  ICS act as a bridge between the community, civil society and the Commune Council, and will strategically invest in the Commune Council (supply) and create strong demands from the civil society organization (CSOs.)","","","","","","","","","","","","2011-07-01","","Start Actual","2013-12-31","","End Planned","","","","","3","","Project Completion","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","38110","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-KEBK-ILO","","","","","","Combating Child Labour through Education and Training in Busia","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"33681","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","41302","40","","ILO","","","","","","","","","","22","","ICS Kenya","KE","","Kenya","","","","","","","","This project fight Child labour by providing a wide ranging interventions to victims and by engaging the stakeholders involved. This includes amongst others withdrawal of children from child labour, facilitation of enrolment of chidlren in formal & informal schooling systems and protecting children - above 16 yrs - against harzadous work environment.","","","","","","","","","","","","2011-01-01","","Start Actual","2012-03-31","","End Planned","","","","","4","","Post Completion","","","","","","","","","Other social infrastructure and services","DAC","160","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","3787","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-NLDS-CONT","","","","","","Consolidated programme on practice and theory of Social Business Social Accounting and Civic Driven Change","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"207000","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS; ","","","","","","","","","","80","","Context International Cooperation; ","","","","","298; 798","","; ","","","","The aim of this program is to contribute to an improved program implementation of ICS, SHGW and their counterpart organizations and other client organizations in order to reach sustainable social economic change. In order to enhance the capacity of these actors with regard to the effectiveness, efficiency and sustainability, Context contributes to the program its experience in the facilitation of (action) learning as well as in exploration of concepts and the translation of theories into practice (e.g. methodologies).","","","","","","","","","","","","2011-01-01","","Start Actual","2015-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","207000","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-KENY-KAACR","","","","","","Support to KAACR","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"53045","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","Kenya Alliance for the Advancement of Children (KAACR)","KE","","Kenya","","","","","","","","Kenya Alliance for Advancement of Children - KAACR - is a national umbrella body for more than 100 children agencies in Kenya. KAACR  works together with ICS  to mobilize and  strengthen CSO platforms,  children platforms and communities for  lobby and advocacy  efforts in child protection systems strengthening .","","","","","","","","","","","","2011-01-01","","Start Actual","2015-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Other social infrastructure and services","DAC","160","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","53045","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-NLDS-AFL","","","","","","Support to Aflatoun","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"72049","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS; ; ; ; ","","","","","","","","","","21","","Aflatoun; ; ; ; ","","","","","298; 489; 589; 798; 889","","; ; ; ; ","","","","Aflatoun is a global movement that through education seeks to empower children to believe in themselves, know their rights and responsibilities, understand and practice saving and spending, and start their own innovative enterprises. Aflatouns approach consists of a comprehensive curriculum, which balances social education with financial education. The Aflatoun movement works with partners and stakeholders in over 89 countries and involves organizations in the public, private, and charitable sectors. Local partners in more than 40 of these countries are currently implementing the programme in schools, while partners in 48 countries are preparing to implement the programme. In order to embed the learning and ensure its future impact, children are encouraged to practice what they have learned through participating in child-led social and financial activities, such as organizing social campaigns, setting up savings systems and starting school-based (or in after school clubs) small scale financial enterprises.","","","","","","","","","","","","2011-01-01","","Start Actual","2013-12-31","","End Actual","","","","","3","","Completion","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","72049","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-AFRI-ACDT","","","","","","Capacity Building and Program Support for ACDT","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"200395","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10; 70","","DGIS; Private Donations","","","","","","","","","","22","","Action for Child Development Trust; ","TZ; KE","","Tanzania; Kenya","","","","","","","","Action for Child Development Trust works to enhance the life of children and families by increasing their capacity to protect, educate and advocate for promotion of childrens rights through enhanced parenting skills, quality education, better health and sustainable livelihood. ACDT is supported to implement four different program activities. These are:  1. Child Rights in School Improvement , 2. Child Social and Financial Education, 3. Sexual Reproductive Health and Rights, and 4. Aflateen Change Makers (offshoot of the Child Social and Financial Education programme). These activities are implemented in collaboration with ICS in the ICS program areas of Kenya and Tanzania. A part of the project is capacity building   - technical, management and PME - of ACDT.","","","","","","","","","","","","2011-01-01","","Start Actual","2013-12-31","","End Actual","","","","","3","","Project Completion","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","200395","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-TASI-IDDP","","","","","","Integrated Dairy Development Program","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"104007","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","Private Foundation","60","","SHGW","","","","","","","","","","22","","EDCS & SAHVTC","TZ","","Tanzania","","","","","","","","The Integrated Dairy Development Program - IDDP - is an autonomous program registered under DOSI Ltd mandated to contribute to the development of the milk value chain. The program aims to address a number of issues around limited and season availability of milk for OMASI milk processing plants popularly known as Milk Processing Units - MPUs - or Engiteng.  The objectives of the IDDP include: a.To increase milk supply to the MPUs by pioneering an innovative dairy development project with a number of interlocking, inter-related and interconnected approaches such as training, identification and dairy animal contract farming. This will enable contribution to milk value chain with other actors,  b. To create socio-economic opportunities through pioneering dairy farming business ventures for households and  families commonly practicing pastoralism, and c) To act as a catalyst in community empowerment processes through capacity building, training on dairy farming and establishment and provision of  dairy animal revolving fund scheme. 

","","","","","","","","","","","","2011-01-01","","Start Actual","2013-12-31","","End Planned","","","","","3","","Project Completion","","","","","","","","","Business and Other Services","DAC","250","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","506256","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-NLDS-CF","","","","","","Child and Youth Finance","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"557081","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS; ; ; ; ","","","","","","","","","","21","","Child and Youth Finance; ; ; ; ","","","","","298; 489; 589; 798; 889","","; ; ; ; ","","","","CYFI works to create a global movement that enhances access of children and youth worldwide to financial (savings) products. The office in Amsterdam functions as a secretariat of this worldwide movement, that includes NGOs, ministries, regulators, central banks, private banks, technical (telecom) companies, and other relevant actors. They have developed various manuals, an academic white paper and a certification scheme for this. CYFI supports the establishment of regional and national platforms in which these actors enhance financial literacy and access for children and youth.
","","","","","","","","","","","","2011-01-01","","Start Actual","2015-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","557081","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-AFRI-SP","","","","","","Skillful Parenting","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"53535","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS; ","","","","","","","","","","22","","ICS Kenya; ","TZ; KE","","Tanzania; Kenya","","","","","","","","The family forms the basic protective unit for children. Children need to feel safe and protected within the family set up. It is within the family that children are taught morals and responsibilities that will enable them go through life. Parents play a key role in the physical social and mental development of their children and are the first point of influence for the children. The ICS skilful parenting programme provides a holistic approach that reinforces positive parenting practices in Kenya and Tanzania empowering parents to address challenges that they face in bringing up their children. The skilful parenting programme focuses on improving both parenting and child outcomes.  Specifically the programme focuses on empowering parents with the knowledge skills attitudes and behaviours that will enhance their capacity and confidence so that they can effectively meet their childrens developmental and growth needs. To reinforce our initiatives at family level families are on a continuous basis empowered with information guides tool kits and or fact sheets on various topical issues that emerge during parenting discussions. This specific projects covers the development of a family budgeting toolkit. This is seen as important guide that will empower families to proactively plan effectively for their finances - resources - to that they are able to optimally address their needs based on their available resources and to avoid financial stress. ","","","","","","","","","","","","2013-02-01","","Start Actual","2013-12-31","","End Actual","","","","","2","","Implementation","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","83580","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-KEBK-AGRI","","","","","","Agribusiness West Kenya","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"102845","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10; 70","","DGIS; Private Donations","","","","","","","","","","22","","ICS Kenya; ","KE","","Kenya","","","","","","","","The Agribusiness Project in Western Kenya aims at improving income and food security for households. Through the projects farmers are provided farm inputs - such as hybrid seed, fertilizer, improved bush beans and traditional vegetables - on credit for the purposes of ensuring timely planting, adherence to modern farming technologies and to increase the harvest. ICS procures the inputs from different suppliers and in their turn distribute the inputs via community facilitators to individual farmers. Farmers are required to have paid a commitment fee of 500 Kenya shillings before they can receive the inputs. Repayments are recouped back every week.  Farmers are responsible for land preparation, planting, harvesting, post-harvest handling for suitable food preservation and produce marketing. Extension workers teach farmers improved farming techniques, proper harvesting practices and good storage observances to make sure quality standards of production are met.
","","","","","","","","","","","","2011-07-01","","Start Actual","2015-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Agricultural sector policy, planning and programmes","DAC","311","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","54500","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-TAME-AGRI","","","","","","Agribusiness Northern Tanzania","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"81847","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10; 70","","DGIS; Private Donations","","","","","","","","","","22","","ICS Tanzania; ","TZ","","Tanzania","","","","","","","","The Agribusiness Project in Northern Tanzania aims at improving income and food security for households. Through the projects farmers are provided farm inputs (such as hybrid seed, fertilizer, improved bush beans and traditional vegetables) on credit for the purposes of ensuring timely planting, adherence to modern farming technologies and to increase the harvest. ICS procures the inputs from different suppliers and in their turn distribute the inputs via community facilitators to individual farmers. Farmers are required to have paid a commitment fee of 500 Tanzania shillings before they can receive the inputs. Repayments are recouped back every week.  Farmers are responsible for land preparation, planting, harvesting, post-harvest handling for suitable food preservation and produce marketing. Extension workers teach farmers improved farming techniques, proper harvesting practices and good storage observances to make sure quality standards of production are met.","","","","","","","","","","","","2011-07-01","","Start Actual","2015-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Agricultural sector policy, planning and programmes","DAC","311","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","25000","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-TAME-WATER","","","","","","Safe drinking water for school children and their communities ","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"62638","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","","60","","Diverse Foundations","","","","","","","","","","22","","ICS Tanzania","TZ","","Tanzania","","","","","","","","The main goal of this project is to improve access to safe drinking water in Meatu district for school children and the communities they belong to. The project deliberately addresses school children directly as well as the communities they belong to. If targeting school children in isolation, the projects impact would still be compromised by the lack of access to safe drinking water in the childrens household environment.
With the current approach the project attempts to maximize its impact for rural communities in Meatu in general and their children in specific.  1000 households in remote areas that cannot be served through community water systems will have access to purification products that ensure safe drinking water.
","","","","","","","","","","","","2011-01-01","","Start Actual","2014-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Basic drinking water supply","DAC","140","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","61414","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
